	Avarni-Dipa of Daksinamurti of Srivatsagotra	Rig Veda Upsiksha			Samskrit	Siksha/Rig Veda Upsiksha	Devanagari	avarni_dipa.pdf
	Avarni Prakaranam	Rig Veda Upsiksha			Samskrit	Siksha/Rig Veda Upsiksha	Devanagari	aavarni_lakshanam_of_rig_veda.pdf
	Natanta-Padani of Sesa Narayana	Rig Veda Upsiksha			Samskrit	Siksha/Rig Veda Upsiksha	Devanagari	natanti%20padani.pdf
	Tapara Prakaranam of Sesa Narayana	Rig Veda Upsiksha			Samskrit	Siksha/Rig Veda Upsiksha	Devanagari	tapara_prakaranam_of_sheshanarayanam.pdf
	Vrthavyakti	Rig Veda Upsiksha			Samskrit	Siksha/Rig Veda Upsiksha	Devanagari	vrithavyakti.pdf
	Svarastaka	Rig Veda Upsiksha			Samskrit	Siksha/Rig Veda Upsiksha	Devanagari	svarashtaka_shiksha.pdf
	Jata Patala Karika	Rig Veda Upsiksha			Samskrit	Siksha/Rig Veda Upsiksha	Devanagari	jata_patala_karika.pdf
	Amaresa Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	varnaratnapradipika_shiksha.pdf
	Amoghanandini Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	amoghanandini_shiksha
	Laghvamoghanandini Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	Link not working
	Avasananirnaya Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	avasananirnaya_shiksha.pdf
	Galadrik Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	galadrik_shiksha
	Kanva Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	kanva_shiksha
	Katyayana Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	katyayana_shiksha
	Katyayani Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	katyayani_shiksha
	Keshaviya Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	keshava_shiksha
	Keshavi Padyatmika Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	Link not working
	Kaushiki Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	kaushiki_shiksha
	Kramasamdhana Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	Link not working
	Madhyandiniya Siksha	Shukla Yajur Veda Siksha			Samskrit	Siksha/Shukla Yajur Veda Siksha	Devanagari	madhyandina_shiksha
